YEAR,MONTH,평균기온,난방도일,냉방도일,최저기온,최고기온,천연가스생산량(백만 m₂),산업소비량(백만 m₂),가정소비량(백만 m₂)
1996,1,-0.90,659.8,0,-6.3,4.5,"1,082.8",128.9,745.3
1996,2,-0.60,485.2,0,-6.4,5.2,889.5,134.9,770.1
1996,3,4.65,346.8,0,-0.7,10,749.3,118.1,620.8
1996,4,9.90,151.4,0,3.5,16.3,516.1,184.5,507.9
1996,5,17.05,41.2,0,10.6,23.5,377.5,172.4,333.2
1996,6,21.30,1.8,26.6,17.3,25.3,260.7,172.8,220.2
1996,7,24.45,0.0,78.8,20.2,28.7,250.4,173.2,120.0
1996,8,25.70,0.0,90.5,21.2,30.2,223.7,169.4,87.3
1996,9,21.00,14.7,8.2,15.1,26.9,306.2,181.1,114.7
1996,10,14.55,147.1,0,8.3,20.8,549.9,202.5,300.3
1996,11,7.30,274.8,0,2.2,12.4,779.1,248.2,510.8
1996,12,2.05,502.6,0,-3.9,8,"1,098.5",293.5,714.3
1997,1,-1.60,659.8,0,-7.2,4,"1,082.8",128.9,745.3
1997,2,1.40,485.2,0,-5,7.8,889.5,134.9,770.1
1997,3,6.90,346.8,0,0.7,13.1,749.3,118.1,620.8
1997,4,12.30,151.4,0,5.9,18.7,516.1,184.5,507.9
1997,5,17.15,41.2,0,11.6,22.7,377.5,172.4,333.2
1997,6,22.15,1.8,26.6,16.6,27.7,260.7,172.8,220.2
1997,7,25.05,0.0,78.8,20.9,29.2,250.4,173.2,120.0
1997,8,25.60,0.0,90.5,21.2,30,223.7,169.4,87.3
1997,9,19.95,14.7,8.2,14.4,25.5,306.2,181.1,114.7
1997,10,13.55,147.1,0,6.7,20.4,549.9,202.5,300.3
1997,11,9.10,274.8,0,3.5,14.7,779.1,248.2,510.8
1997,12,2.50,502.6,0,-2.4,7.4,"1,098.5",293.5,714.3
1998,1,-0.30,600.1,0,-5,4.4,"1,170.8",215.6,797.3
1998,2,3.60,410.2,0,-1.8,9,961.9,197.4,835.2
1998,3,7.45,330.8,0,1.4,13.5,864.9,198.9,622.1
1998,4,15.15,87.8,0,9.8,20.5,517.0,184.5,506.3
1998,5,18.05,17.6,0.9,12.3,23.8,367.1,172.4,276.2
1998,6,20.30,9.5,11,16.2,24.4,328.9,172.8,201.5
1998,7,24.35,0.0,37,21,27.7,283.2,173.2,134.8
1998,8,25.20,0.0,35.7,21.5,28.9,275.6,169.4,108.0
1998,9,22.15,0.4,19.2,17.2,27.1,306.7,181.1,120.2
1998,10,16.60,59.1,0,11.2,22,467.8,202.5,215.4
1998,11,7.95,319.9,0,2,13.9,889.3,248.2,491.9
